data_homologacao,numero_homologacao,fabricante,brand,modelo,nome_comercial,tipo_produto,situacao,pais
28/01/2014,042721300953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G3812B,SM-G3812B,Telefone Móvel Celular,Homologação Suspensa,Coréia
28/01/2011,033821000953,Samsung Electronics Co Ltd.,SAMSUNG,GT-S5570B,GT-S5570B,Telefone Móvel Celular,Homologação Suspensa,Coréia
16/03/2010,001791000953,Samsung Electronics Co Ltd.,SAMSUNG,GT-S3550,GT-S3550,Telefone Móvel Celular,Homologação Suspensa,Coréia
15/02/2013,001821300953,Samsung Electronics Co Ltd.,SAMSUNG,GT-S3332,GT-S3332,Telefone Móvel Celular,Homologação Suspensa,Coréia
24/05/2002,002860200953,Samsung Electronics Co Ltd.,SAMSUNG,SGH-R200S,SGH-R200S,Telefone Móvel Celular,Homologação Cancelada,Coréia
16/02/2011,001751100953,Samsung Electronics Co Ltd.,SAMSUNG,GT-I9003B,GT-I9003B,Telefone Móvel Celular,Homologação Suspensa,Coréia
17/01/2012,034831100953,Samsung Electronics Co Ltd.,SAMSUNG,GT-B5512B,GT-B5512B,Telefone Móvel Celular,Homologação Suspensa,Coréia
07/03/2016,041751400953,Samsung Electronics Co Ltd.,SAMSUNG,SM-E500M/DS (Galaxy E5),SM-E500M/DS (Galaxy E5),Telefone Móvel Celular,Homologação Suspensa,Coréia
07/03/2016,041751400953,Samsung Electronics Co Ltd.,SAMSUNG,SM-E500M (Galaxy E5),SM-E500M (Galaxy E5),Telefone Móvel Celular,Homologação Suspensa,Coréia
13/03/2015,041261403269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,SWL-B70F,SWL-B70F,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
07/01/2015,043311300953,Samsung Electronics Co Ltd.,SAMSUNG,GT-I9063T,GT-I9063T,Telefone Móvel Celular,Homologação Suspensa,Coréia
18/01/2008,022630700953,Samsung Electronics Co Ltd.,SAMSUNG,SGH-F265L,SGH-F265L,Telefone Móvel Celular,Homologação Suspensa,Coréia
06/02/2009,026920800953,Samsung Electronics Co Ltd.,SAMSUNG,SGH-E250L,SGH-E250L,Telefone Móvel Celular,Homologação Suspensa,Coréia
02/04/2018,043121303269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,Xpress M2835DW,,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
06/11/2014,044531300953,Samsung Electronics Co Ltd.,SAMSUNG,SM-T110,SM-T110,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
28/02/2008,022330701993,Apple Inc.,APPLE,A1255,A1255,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
22/05/2017,047591507120,Harman International Industries Inc.,JBL,GTR-104 e K4,,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
17/03/2015,043771402701,Harman International Industries Inc.,JBL,EON615,EON615,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
12/02/2009,027040800953,Samsung Electronics Co Ltd.,SAMSUNG,S3500,S3500,Telefone Móvel Celular,Homologação Suspensa,Coréia
28/01/2011,033771000953,Samsung Electronics Co Ltd.,SAMSUNG,GT-S5830B,GT-S5830B,Telefone Móvel Celular,Homologação Suspensa,Coréia
14/02/2012,001001203269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,WIBT30D,WIBT30D,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
